algorithm,sample_fraction,n_neighbors,repeat,num_edges,compute_time
dmst,0.56,6,2,301810,4.323023599999999
umap,0.56,2,2,63852,0.7885619999997289
umap,0.56,3,2,122554,0.7993762000005518
umap,0.56,6,2,295764,0.9190380000000004
kmst,0.56,2,2,90102,179.4350642999998
kmst,0.56,3,2,140574,199.0228903999996
kmst,0.56,6,2,301602,230.86925189999965
dmst,1.0,2,2,160790,8.98102270000004
dmst,1.0,3,2,251246,8.897371300000032
dmst,1.0,6,2,541132,9.044506700000056
umap,1.0,2,2,114368,1.6647972000000664
umap,1.0,3,2,219662,1.771839799999725
umap,1.0,6,2,530222,1.9400751000002856
kmst,1.0,2,2,160796,777.3599860999993
kmst,1.0,3,2,251130,839.6361023999998
kmst,1.0,6,2,540778,965.4696896000004
dmst,0.1,2,3,16146,0.3105219999999917
dmst,0.1,3,3,24994,0.3312394000000154
dmst,0.1,6,3,53150,0.3306653999999867
umap,0.1,2,3,11270,0.1232818999997107
umap,0.1,3,3,21568,0.1382109999995009
umap,0.1,6,3,52130,0.1471402999995916
kmst,0.1,2,3,16148,2.157315100001142
kmst,0.1,3,3,24974,2.2639163000003464
kmst,0.1,6,3,53136,2.521891399999731
dmst,0.18,2,3,29080,0.6231314000000339
dmst,0.18,3,3,45038,0.6334671999999841
dmst,0.18,6,3,96174,0.6322124999999801
umap,0.18,2,3,20418,0.2196350999984133
umap,0.18,3,3,39066,0.2173684999997931
umap,0.18,6,3,94240,0.2591609999999491
kmst,0.18,2,3,29102,10.12509090000094
kmst,0.18,3,3,45022,10.60878269999921
kmst,0.18,6,3,96104,11.916788599999563
dmst,0.32,2,3,51736,1.6386329000000046
dmst,0.32,3,3,80302,1.60707560000003
dmst,0.32,6,3,171738,1.575063600000021
umap,0.32,2,3,36250,0.3792393999992782
umap,0.32,3,3,69710,0.393119200000001
umap,0.32,6,3,168286,0.4751104000006307
kmst,0.32,2,3,51744,48.67113530000097
kmst,0.32,3,3,80280,52.014674600000944
kmst,0.32,6,3,171608,59.5983696000003
dmst,0.56,2,3,90090,3.5846877000000177
dmst,0.56,3,3,140494,3.5662541000000374
dmst,0.56,6,3,302006,3.5424512000000163
umap,0.56,2,3,63792,0.7678515000006882
umap,0.56,3,3,122598,0.7989798999988125
umap,0.56,6,3,296124,0.905314699999508
kmst,0.56,2,3,90100,173.6627206000012
kmst,0.56,3,3,140460,228.3608622000011
kmst,0.56,6,3,301826,215.00548100000012
dmst,1.0,2,3,160780,8.966850000000022
dmst,1.0,3,3,251192,9.123405600000012
dmst,1.0,6,3,541102,8.936151999999993
umap,1.0,2,3,114352,1.6954561000002286
umap,1.0,3,3,219750,1.7553377999993245
umap,1.0,6,3,530048,1.939911999999822
kmst,1.0,2,3,160796,778.359853599999
kmst,1.0,3,3,251130,834.1937404
kmst,1.0,6,3,540778,959.7452248999998
dmst,0.1,2,4,16130,0.3554720999999858
dmst,0.1,3,4,25024,0.394539199999997
dmst,0.1,6,4,52976,0.3400710999999887
umap,0.1,2,4,11322,0.1280206999999791
umap,0.1,3,4,21632,0.1356728999999177
umap,0.1,6,4,52008,0.1548062000001664
kmst,0.1,2,4,16128,1.99677039999915
kmst,0.1,3,4,25010,2.0741880999994464
kmst,0.1,6,4,52944,2.330837400000746
dmst,0.18,2,4,29080,0.633177499999988
dmst,0.18,3,4,45198,0.6386466000000155
dmst,0.18,6,4,96192,0.663265899999999
umap,0.18,2,4,20412,0.2190320999998221
umap,0.18,3,4,39192,0.2272832000016933
umap,0.18,6,4,94346,0.283849100000225
kmst,0.18,2,4,29080,9.75092980000045
kmst,0.18,3,4,45170,10.283076800000345
kmst,0.18,6,4,96136,11.499224099999992
dmst,0.32,2,4,51536,1.672837300000026
dmst,0.32,3,4,80254,1.6397555000000352
dmst,0.32,6,4,171574,1.5902447999999936
umap,0.32,2,4,36390,0.3849647999995795
umap,0.32,3,4,70018,0.3972878000004129
umap,0.32,6,4,168234,0.4767608999991353
kmst,0.32,2,4,51550,48.37937430000056
kmst,0.32,3,4,80226,51.45998599999984
kmst,0.32,6,4,171486,58.47459089999938
dmst,0.56,2,4,90252,4.353032199999973
dmst,0.56,3,4,140776,4.353258100000005
dmst,0.56,6,4,302240,4.39523029999998
umap,0.56,2,4,63736,0.8045975000004546
umap,0.56,3,4,122606,0.8232960000004823
umap,0.56,6,4,296082,0.9032284999993864
kmst,0.56,2,4,90258,186.79159439999967
kmst,0.56,3,4,140754,202.3367115000001
kmst,0.56,6,4,302062,248.0661689000008
dmst,1.0,2,4,160776,8.8972531
dmst,1.0,3,4,251204,9.039621300000022
dmst,1.0,6,4,541206,9.02417349999996
umap,1.0,2,4,114224,1.6629219999995255
umap,1.0,3,4,219754,1.756969800000661
umap,1.0,6,4,530440,1.978379199999836
kmst,1.0,2,4,160796,786.7994390000003
kmst,1.0,3,4,251130,840.2709343000006
kmst,1.0,6,4,540778,965.2297418999988
